"","term","estimate","std.error","statistic","p.value","term.1","estimate.1","std.error.1","statistic.1","p.value.1"
"1","(Intercept)",5.74711619131243,3.81860367801295,1.505030811237,0.132472882120541,"(Intercept)",-14519.6364120976,6665.0909163287,-2.17846036826387,0.0294649470617907
"2","cholesterol",0.074991397046809,0.0351644883451133,2.13258888657284,0.0330790394337424,"cholesterol",-82.1295138645108,64.3026277293664,-1.27723417789664,0.201638235912847
"3","diabetes",0.026523143383108,0.0154340951148417,1.71847738307657,0.0858631860090783,"diabetes",0.736286206349982,28.1131402010989,0.0261901090053683,0.979107796164729
"4","smoking",-0.0423690460666774,0.0344930425245863,-1.22833600534013,0.219464309354203,"smoking",-295.549972860914,63.1634315094378,-4.67913103829315,0.00000303459997446456
"5","obesity",0.00190227547340166,0.0102419627786799,0.1857334882491,0.852672459562768,"obesity",-57.484051637838,18.3571334479971,-3.13142854251625,0.00175970032604657
"6","inactive",0.00757948570772905,0.0106782826627521,0.709803809012079,0.477907935409524,"inactive",52.6092719986394,19.1684585601824,2.74457499195693,0.0061022508215816
"7","nointernet",-0.00189472171447172,0.0133251600302534,-0.142191291524451,0.886943125471191,"nointernet",58.0308978268324,23.1314793252502,2.50874131355214,0.0121790638194654
"8","nocomputer",0.036836723156501,0.0186521400366939,1.97493280042038,0.0484120829123038,"nocomputer",-102.94420480678,31.9710003450443,-3.21992442200005,0.0012986835039492
"9","lesshighschool",0.0317757477870432,0.0177636048959245,1.78881189787854,0.0737952835036327,"lesshighschool",-80.0951607441566,30.7176681680366,-2.60746226914125,0.0091758809505199
"10","lesscollege",-0.0422663768660076,0.012321999242316,-3.43015577544082,0.000615389189238192,"lesscollege",118.124222507334,21.839402429415,5.4087662374972,0.0000000694851373872062
"11","snap",-0.0399402287741329,0.0149294856779862,-2.67525818608913,0.00752758760178675,"snap",-36.7282494863091,27.1560586915986,-1.3524882201581,0.176341550331042
"12","homevalue",-0.0000107029632009987,0.00000140297666945137,-7.6287535167524,0.0000000000000363084283774708,"homevalue",-0.00272945176026405,0.00253940722802952,-1.07483814731912,0.282550962763515
"13","hincome",0.0000356627719978951,0.00000976134736545967,3.65346818043656,0.0002653331584058,"hincome",0.106698464897978,0.0176111847276477,6.05856258667668,0.00000000158091694597659
"14","gini",2.49558019476992,1.86841449593293,1.33566732660347,0.181808876665071,"gini",3679.73968010779,3145.01898852153,1.17002145091583,0.242103907987195
"15","poverty",0.0986225760833896,0.0222604541941972,4.43039370279777,0.00000991067626007025,"poverty",55.3895214990901,40.6626021839423,1.36217355811438,0.173265881345289
"16","housingcost",-0.0136366219485801,0.0224051994945655,-0.608636488681466,0.542834016363648,"housingcost",33.2254729578947,39.3316080245937,0.844752468221464,0.398329922695382
"17","unemploy",-0.141624768673212,0.0432422515538431,-3.27514788393633,0.00107396987320237,"unemploy",244.99395114649,78.0437525112667,3.13918722848599,0.00171394537830006
"18","asian",0.0295871874168191,0.0317541007643922,0.931759574498706,0.351572413683161,"asian",156.264394443428,62.3561874011839,2.50599661326409,0.0122737699783524
"19","black",0.0208095350885168,0.0107139198191725,1.94228960452721,0.0522412230477881,"black",0.292336241298218,17.4397155874049,0.0167626725237048,0.986627286845243
"20","white",0.0356774909067815,0.0103544337311932,3.44562453466686,0.000581416246022951,"white",8.89554791645897,17.4949577350063,0.508463527102985,0.611173193127056
"21","age65",-0.127088785281797,0.0230502735075939,-5.51354782145766,0.0000000396866524455574,"age65",-62.1134483648504,41.2613252224959,-1.50536726656045,0.132356057966277
"22","pop",0.00000141096453904049,0.000000393178576194046,3.58860992045541,0.000340384689549599,"pop",-0.00069401204734191,0.00078433018275383,-0.884846793610813,0.376324394482808
"23","air",0.0688945114541549,0.0393629590417651,1.75023710440712,0.0802296019389642,"air",115.215363334311,73.6313228013537,1.56476019920415,0.117765761214616
"24","park",-0.0013568498381757,0.00298963006885573,-0.453852084346685,0.64998416932509,"park",-14.6290664922356,5.1398871289792,-2.84618438598689,0.0044607363819022
"25","metro2",0.263096859991213,0.361434766603993,0.727923499068024,0.466744992691175,"metro2",922.043505092515,744.406316207251,1.23862934128545,0.215599129613483
"26","metro3",-0.181694010811895,0.355533431145813,-0.511046205208697,0.609374690747814,"metro3",-763.67271254575,734.433430066931,-1.03981202554485,0.298527831804445
"27","metro4",-0.0547974962646957,0.373317909401539,-0.146785072145456,0.883316351562561,"metro4",-610.524055014888,765.496944573188,-0.797552569403517,0.425205958506584
"28","hospital",-0.0847451073956105,0.0429515148896847,-1.97304117475873,0.0486273501038583,"hospital",320.983116646105,85.7462115867759,3.7434087256586,0.000185635268136628
"29","physician",0.0250868297390857,0.0198715392030472,1.26245025524941,0.206932901863504,"physician",17.8492682055786,36.2320808911931,0.492637126175031,0.622312289480269
"30","noinsurance",0.00745376678373032,0.0153490804780427,0.485616502851304,0.62729189110367,"noinsurance",171.799528155565,27.4580320432339,6.25680412511206,0.000000000460860065893043
"31","hisp",0.0562848440736264,0.0101493332924353,5.54566910474583,0.0000000331372765982738,"hisp",24.7356155767346,17.8461033400534,1.38605134719906,0.16585488607967
"32","male",-0.132978750835793,0.0433131911030017,-3.07016748130057,0.00216794051826933,"male",-105.677873732236,71.3029374704136,-1.48209705632515,0.138440554793576
"33","marri",0.0173583824339405,0.0142515044007089,1.21800351358535,0.22336523784826,"marri",-37.9666333000312,24.0039699346962,-1.58168142200315,0.113848861627888
"34","crimerate",0.000183728792000212,0.000177555035199771,1.03477094746142,0.300900062283014,"crimerate",-0.364343562868267,0.345148699911912,-1.05561331380143,0.291246956325722
"35","racialseg",-0.100698952121794,0.698020743810558,-0.144263552358156,0.885306784688765,"racialseg",129.291970159722,1161.41496607473,0.111322803594218,0.911369313067924
"36","socialvul",0.439277350597919,0.352054559788821,1.24775361768192,0.21226628111026,"socialvul",624.071581062547,627.610740112713,0.994360901074556,0.320143465939658
"37","glyphosate",-0.0000026291349032052,0.000000998076206937792,-2.63420256382193,0.00849807231961348,"glyphosate",-0.00483842689418974,0.00192231204486635,-2.51698308144665,0.0118985632164988
"38","dicamba",0.00000957524045665973,0.00000692560414480674,1.38258558480271,0.166945179428749,"dicamba",-0.00456108070427371,0.012648911679008,-0.360590762274294,0.71843587200022
"39","risk_score",0.0720459436327577,0.0203699694749096,3.53687047599651,0.000414051847731327,"risk_score",-48.0532835226795,38.3044546571501,-1.25450901083928,0.209774372042335
"40","eal_score",-0.065360826780122,0.0174640773173675,-3.74258688806438,0.00018723538150223,"eal_score",47.8369539013262,33.7700558075,1.41654944765303,0.156739335792801
"41","resl_score",0.0933810801643361,0.0297956519827841,3.13405057282491,0.00174893712330556,"resl_score",51.7575917438614,51.1481622002689,1.01191498418274,0.311676668015035
"42","walk_index",-0.00929705269357022,0.043977736406179,-0.211403620406983,0.832593710200941,"walk_index",14.8657596794342,83.864106001646,0.177260098368454,0.859318456641092
"43","food_index",-0.00557444669250243,0.00594962107772662,-0.936941465629009,0.348900948677296,"food_index",-6.43889000088368,8.07108647569853,-0.797772396599978,0.425078380134319
"44","hdrink",0.00121384594274602,0.0203300735417166,0.0597069135168276,0.95239498608343,"hdrink",213.086646703741,37.4106138577321,5.69588746963851,0.0000000137107622084849
"45","fruit",0.0581476411312307,0.0247171833790288,2.35251890312736,0.018742446814964,"fruit",303.731952180708,46.6061202160048,6.51699714056878,0.0000000000864588372143851
"46","veteran",-0.020088375474385,0.0216615651284039,-0.927374146572811,0.353843373676936,"veteran",-39.2838440890388,39.9407328800894,-0.983553411675677,0.325430353733157
"47","vacant",-0.0131376451339455,0.00663924776076981,-1.97878518882419,0.0479761567739895,"vacant",-1.917692225141,11.4034012404374,-0.168168442441604,0.866464375020002
"48","incarcerate",0.0941197704839172,0.0243562662684159,3.86429387192107,0.000114935186402626,"incarcerate",97.8409025373316,39.4420734243025,2.48062269660109,0.0131806825195182
"49","pre1960pct",1.00165529669649,0.527329854086092,1.89948528219105,0.0576433712227546,"pre1960pct",865.757998617385,933.678570583971,0.927254866817705,0.353883765369036
"50","dslpm",0.823408591702989,0.527276105725472,1.56162697827938,0.118532921653998,"dslpm",1490.20969720803,1042.88031845764,1.42893644729241,0.153147480874246
"51","resp",1.48231329740834,0.565388269568912,2.62176167634068,0.0088134953238313,"resp",-4580.96090488174,1094.10420526621,-4.18695119060175,0.000029251293318749
"52","ptraf",0.00121054654927368,0.000420397752690334,2.87952668996633,0.00402476450176913,"ptraf",2.06644112409007,0.840542680522946,2.4584606730552,0.014020786791272
"53","ptsdf",-0.00109518792116971,0.0770164368161195,-0.0142201842417681,0.988655724673656,"ptsdf",-12.3947370947823,155.566943915112,-0.0796746197029217,0.936502425235842
"54","ozone",-0.0798304681609133,0.0112405837883663,-7.10198595232534,0.00000000000169815717298594,"ozone",36.7508408266189,21.0773888618973,1.74361449928247,0.0813493033961059
"55","access_exercise",-0.0271580627740532,0.305686668208523,-0.0888428106243987,0.929215663010959,"access_exercise",-655.752454704911,510.812560783783,-1.28374379380713,0.199350631749672
"56","social_assoc",0.0391437801996383,0.0126885637999049,3.08496539221656,0.0020634135097188,"social_assoc",-37.5543734720604,19.1713546285846,-1.95887949493494,0.0502379572305368
"57","sleep",1.38203111510844,2.18354681279359,0.632929464580743,0.526851525885673,"sleep",12364.0786064265,4169.22878297961,2.96555532210212,0.00304998340062979
"58","mental",15.4597088557656,6.549961614766,2.36027472602493,0.0183562162703249,"mental",69817.065611585,11859.1459268318,5.88719171197827,0.00000000445506819951246
"59","chlamydia",-0.000195357663069337,0.000336101977630866,-0.581245205536679,0.561140213300889,"chlamydia",-0.770942769588602,0.58029621685319,-1.3285331649571,0.184123337839641
"60","syphilis",-0.0112844402706948,0.00682686779687039,-1.65294548048343,0.0984977418090143,"syphilis",-10.2304690216135,12.1773123770287,-0.840125366325678,0.400918467372677
"61","manufacturing",-0.0273025071174924,0.00785711739520999,-3.47487580294232,0.000521900636509738,"manufacturing",-119.359964056908,14.3835152843779,-8.29838615227431,0.00000000000000017044477819666
"62","hbp",0.0447480335656236,0.0296644082162798,1.50847551851939,0.131589636928659,"hbp",279.769147217772,54.6720890673664,5.11722072432688,0.000000333638579313496
